LOCATION,INDICATOR,SUBJECT,MEASURE,TIME,Value
SVK,FBORNEMP,TOT,PC_FBORNPOP,2009,60.6
SVK,FBORNEMP,TOT,PC_FBORNPOP,2010,56.5
SVK,FBORNEMP,TOT,PC_FBORNPOP,2011,59.4
SVK,FBORNEMP,TOT,PC_FBORNPOP,2012,63.7
SVK,FBORNEMP,TOT,PC_FBORNPOP,2013,66.4
SVK,FBORNEMP,TOT,PC_FBORNPOP,2014,66.1
SVK,FBORNEMP,TOT,PC_FBORNPOP,2015,58.4
SVK,FBORNEMP,TOT,PC_FBORNPOP,2016,64.7
SVK,FBORNEMP,TOT,PC_FBORNPOP,2017,69.8
ESP,FBORNEMP,TOT,PC_FBORNPOP,2007,70.3
ESP,FBORNEMP,TOT,PC_FBORNPOP,2008,65.8
ESP,FBORNEMP,TOT,PC_FBORNPOP,2009,57.4
ESP,FBORNEMP,TOT,PC_FBORNPOP,2010,55.3
ESP,FBORNEMP,TOT,PC_FBORNPOP,2011,55.1
ESP,FBORNEMP,TOT,PC_FBORNPOP,2012,52.1
ESP,FBORNEMP,TOT,PC_FBORNPOP,2013,50.7
ESP,FBORNEMP,TOT,PC_FBORNPOP,2014,52.3
ESP,FBORNEMP,TOT,PC_FBORNPOP,2015,55.2
ESP,FBORNEMP,TOT,PC_FBORNPOP,2016,57.6
ESP,FBORNEMP,TOT,PC_FBORNPOP,2017,59.6
SWE,FBORNEMP,TOT,PC_FBORNPOP,2007,63.1
SWE,FBORNEMP,TOT,PC_FBORNPOP,2008,64
SWE,FBORNEMP,TOT,PC_FBORNPOP,2009,62.1
SWE,FBORNEMP,TOT,PC_FBORNPOP,2010,61.2
SWE,FBORNEMP,TOT,PC_FBORNPOP,2011,62.5
SWE,FBORNEMP,TOT,PC_FBORNPOP,2012,62.8
SWE,FBORNEMP,TOT,PC_FBORNPOP,2013,62.9
SWE,FBORNEMP,TOT,PC_FBORNPOP,2014,63.5
SWE,FBORNEMP,TOT,PC_FBORNPOP,2015,64.1
SWE,FBORNEMP,TOT,PC_FBORNPOP,2016,64.9
SWE,FBORNEMP,TOT,PC_FBORNPOP,2017,66.3
CHE,FBORNEMP,TOT,PC_FBORNPOP,2007,73.7
CHE,FBORNEMP,TOT,PC_FBORNPOP,2008,75.5
CHE,FBORNEMP,TOT,PC_FBORNPOP,2009,75.7
CHE,FBORNEMP,TOT,PC_FBORNPOP,2010,74.6
CHE,FBORNEMP,TOT,PC_FBORNPOP,2011,75.7
CHE,FBORNEMP,TOT,PC_FBORNPOP,2012,76.1
CHE,FBORNEMP,TOT,PC_FBORNPOP,2013,75.9
CHE,FBORNEMP,TOT,PC_FBORNPOP,2014,76.3
CHE,FBORNEMP,TOT,PC_FBORNPOP,2015,76.5
CHE,FBORNEMP,TOT,PC_FBORNPOP,2016,76.6
CHE,FBORNEMP,TOT,PC_FBORNPOP,2017,75.8
TUR,FBORNEMP,TOT,PC_FBORNPOP,2008,48.8
TUR,FBORNEMP,TOT,PC_FBORNPOP,2009,47.2
TUR,FBORNEMP,TOT,PC_FBORNPOP,2010,49.5
TUR,FBORNEMP,TOT,PC_FBORNPOP,2011,49.7
TUR,FBORNEMP,TOT,PC_FBORNPOP,2012,46.1
TUR,FBORNEMP,TOT,PC_FBORNPOP,2013,46.6
TUR,FBORNEMP,TOT,PC_FBORNPOP,2014,46.3
TUR,FBORNEMP,TOT,PC_FBORNPOP,2015,44.4
TUR,FBORNEMP,TOT,PC_FBORNPOP,2016,43.9
TUR,FBORNEMP,TOT,PC_FBORNPOP,2017,46.2
GBR,FBORNEMP,TOT,PC_FBORNPOP,2007,66.4
GBR,FBORNEMP,TOT,PC_FBORNPOP,2008,67.9
GBR,FBORNEMP,TOT,PC_FBORNPOP,2009,66.6
GBR,FBORNEMP,TOT,PC_FBORNPOP,2010,66.8
GBR,FBORNEMP,TOT,PC_FBORNPOP,2011,66.7
GBR,FBORNEMP,TOT,PC_FBORNPOP,2012,66.5
GBR,FBORNEMP,TOT,PC_FBORNPOP,2013,67.5
GBR,FBORNEMP,TOT,PC_FBORNPOP,2014,69.4
GBR,FBORNEMP,TOT,PC_FBORNPOP,2015,70.5
GBR,FBORNEMP,TOT,PC_FBORNPOP,2016,71.9
GBR,FBORNEMP,TOT,PC_FBORNPOP,2017,72.5
USA,FBORNEMP,TOT,PC_FBORNPOP,2007,71.8
USA,FBORNEMP,TOT,PC_FBORNPOP,2008,70.8
USA,FBORNEMP,TOT,PC_FBORNPOP,2009,67.7
USA,FBORNEMP,TOT,PC_FBORNPOP,2010,67.6
USA,FBORNEMP,TOT,PC_FBORNPOP,2011,67.5
USA,FBORNEMP,TOT,PC_FBORNPOP,2012,67.7
USA,FBORNEMP,TOT,PC_FBORNPOP,2013,68.4
USA,FBORNEMP,TOT,PC_FBORNPOP,2014,69.1
USA,FBORNEMP,TOT,PC_FBORNPOP,2015,69.2
USA,FBORNEMP,TOT,PC_FBORNPOP,2016,70
USA,FBORNEMP,TOT,PC_FBORNPOP,2017,71
CHL,FBORNEMP,TOT,PC_FBORNPOP,2009,64.7
CHL,FBORNEMP,TOT,PC_FBORNPOP,2011,68.1
CHL,FBORNEMP,TOT,PC_FBORNPOP,2013,74.2
CHL,FBORNEMP,TOT,PC_FBORNPOP,2015,73.9
EST,FBORNEMP,TOT,PC_FBORNPOP,2007,74.2
EST,FBORNEMP,TOT,PC_FBORNPOP,2008,74.8
EST,FBORNEMP,TOT,PC_FBORNPOP,2009,67.8
EST,FBORNEMP,TOT,PC_FBORNPOP,2010,59.1
EST,FBORNEMP,TOT,PC_FBORNPOP,2011,63.6
EST,FBORNEMP,TOT,PC_FBORNPOP,2012,67.2
EST,FBORNEMP,TOT,PC_FBORNPOP,2013,68.4
EST,FBORNEMP,TOT,PC_FBORNPOP,2014,68
EST,FBORNEMP,TOT,PC_FBORNPOP,2015,70.2
EST,FBORNEMP,TOT,PC_FBORNPOP,2016,70.8
EST,FBORNEMP,TOT,PC_FBORNPOP,2017,71.7
ISR,FBORNEMP,TOT,PC_FBORNPOP,2012,74.8
ISR,FBORNEMP,TOT,PC_FBORNPOP,2013,75.8
ISR,FBORNEMP,TOT,PC_FBORNPOP,2014,77.4
ISR,FBORNEMP,TOT,PC_FBORNPOP,2015,78
ISR,FBORNEMP,TOT,PC_FBORNPOP,2016,78.6
ISR,FBORNEMP,TOT,PC_FBORNPOP,2017,78.9
SVN,FBORNEMP,TOT,PC_FBORNPOP,2007,67.9
SVN,FBORNEMP,TOT,PC_FBORNPOP,2008,68.4
SVN,FBORNEMP,TOT,PC_FBORNPOP,2009,66.1
SVN,FBORNEMP,TOT,PC_FBORNPOP,2010,65.3
SVN,FBORNEMP,TOT,PC_FBORNPOP,2011,61.9
SVN,FBORNEMP,TOT,PC_FBORNPOP,2012,63.9
SVN,FBORNEMP,TOT,PC_FBORNPOP,2013,60.5
SVN,FBORNEMP,TOT,PC_FBORNPOP,2014,58.2
